id,name,category,why_sampled,evidence_domain_mismatch,agent_access,agent_auth_methods,agent_has_mcp,agent_buildability,agent_composio_toolkit_exists,agent_api_surface,evidence_url,truth_access,truth_auth_methods,truth_has_mcp,truth_buildability,truth_composio_toolkit_exists,notes
plaid,Plaid,Finance and Fintech,must-include fintech no-composio-toolkit,,self-serve,api-key|oauth2,false,easy,false,Broad REST API over JSON with multiple endpoints and webhooks.,https://plaid.com/docs/api/,trial,api-key,true,easy,false,"Sandbox + Trial plan are self-serve, but full Production needs approval/use-case review. Agent said self-serve -- miss caught by human."
amazon-sp-api,Amazon Selling Partner,Ecommerce,must-include access=gated buildability=needs-outreach critic-changed:auth_methods,,gated,oauth2,unknown,needs-outreach,true,REST API with broad coverage of Amazon store management resources.,https://developer-docs.amazon.com/sp-api/docs/authorizing-selling-partner-api-applications,gated,oauth2,false,needs-outreach,false,Developer registration + app approval (onboarding path) required before production.
pitchbook,PitchBook,Finance and Fintech,must-include fintech access=gated no-composio-toolkit,,gated,oauth2,true,needs-outreach,false,Model Context Protocol server and enterprise direct data feeds.,https://mcp-proxy-external.pitchbook.com/,gated,api-key,true,needs-outreach,false,Access is request-only ('request a free trial'); no self-serve API signup.
dealcloud,DealCloud,CRM and Sales,must-include no-composio-toolkit critic-changed:access/buildability,,self-serve,oauth2|api-key,true,easy,false,"REST API with endpoints for data, schema, user management, publications, and backups.",https://api.docs.dealcloud.com/docs/token,gated,oauth2,true,needs-outreach,false,Real docs show HTTP/REST API + SDK + MCP option. Client-only access gate not confirmed on page -- left blank.
binance,Binance,Finance and Fintech,must-include fintech access=gated no-composio-toolkit,,gated,api-key|oauth2,unknown,needs-outreach,false,"Broad REST and WebSocket APIs covering spot trading, futures, and market data.",https://developers.binance.com/en/docs/catalog/core-trading-spot-trading/api/ws-api/auth,self-serve,api-key,false,easy,false,API keys (Ed25519/HMAC/RSA) self-generated in account. Agent said gated -- miss caught by human.
mermaid-cli,Mermaid CLI,"AI, Research and Media-native",must-include access=gated evidence-domain-mismatch no-composio-toolkit,YES,gated,oauth2|jwt,unknown,needs-outreach,false,REST API with secure endpoints for coral reef data management.,https://github.com/data-mermaid/mermaid-api/blob/master/docs/source/authentication.rst,self-serve,none,false,easy,false,"Open-source Node CLI, no auth/API. Agent researched the WRONG company (data-mermaid coral-reef API) -- miss caught."
sherlock,Sherlock,"Data, SEO and Scraping",must-include no-composio-toolkit no-auth-found,,self-serve,,unknown,easy,false,"REST API via Django REST Framework, available as a self-hosted open source repository.",https://github.com/sherlock-project/api,self-serve,none,false,easy,false,"Open-source CLI (sherlock user123), no auth."
ipayx,iPayX,Finance and Fintech,must-include fintech access=gated evidence-domain-mismatch,YES,gated,basic,unknown,needs-outreach,false,"REST API with multiple resources including transaction, provisioning, and pay-by-link APIs.",https://documentation.ixopay.com/api/transaction/transaction-api,gated,api-key,true,needs-outreach,false,Agent cited ixopay.com (WRONG company). Real iPayX uses a production API key in Authorization header and has an MCP option.
ramp,Ramp,Finance and Fintech,high-hardness fintech access=trial buildability=needs-outreach,,trial,oauth2|basic,unknown,needs-outreach,true,"Broad REST API supporting cards, transactions, users, and accounting resources.",https://docs.ramp.com/developer-api/v1/api/authorization,gated,oauth2,true,needs-outreach,true,API access provisioned through Ramp partner/customer flow via OAuth. Agent said trial.
paygent-connect,Paygent Connect,Finance and Fintech,high-hardness fintech no-composio-toolkit critic-changed:auth_methods,,self-serve,bearer,unknown,easy,false,"REST API with endpoints for products, configuration, users, usage tracking, and batch events.",https://docs.paygent.to/reference/api-reference/,self-serve,other,true,easy,false,"Found wallet-based auth + JWT session + MCP at docs.paygent.to -- may NOT be the NMI-powered Paygent Connect intended; possible company mismatch, not confirmed."
gladly,Gladly,Support and Helpdesk,high-hardness access=gated no-composio-toolkit buildability=needs-outreach,,gated,basic,unknown,needs-outreach,false,REST API via HTTPS.,https://help.gladly.com/developer-tutorials/docs/test-the-rest-api-with-postman,gated,basic,false,needs-outreach,false,Not verified -- could not confirm on docs.
waterfall,Waterfall.io,"Data, SEO and Scraping",high-hardness access=gated no-composio-toolkit buildability=needs-outreach,,gated,api-key,unknown,needs-outreach,false,"REST API with roughly 12 functional areas including prospector, enrichment, search, and verification endpoints.",https://docs.waterfall.io/v1/authentication,gated,api-key,false,needs-outreach,false,Public REST API; all requests require API key in x-api-key header. Signup gate not confirmed.
otter-ai,Otter AI,"AI, Research and Media-native",high-hardness access=gated no-composio-toolkit buildability=needs-outreach,,gated,bearer,unknown,needs-outreach,false,"REST API with endpoints for channels, conversations, transcripts, audio, and webhooks.",https://docs.otterly.ai/authentication,gated,bearer|oauth2,true,needs-outreach,false,Agent cited otterly.ai (WRONG company). Real Otter.ai has an official MCP server -- miss caught.
grain,Grain,"AI, Research and Media-native",high-hardness access=gated no-composio-toolkit buildability=needs-outreach,,gated,api-key|oauth2,unknown,needs-outreach,false,"Broad REST API supporting recordings, transcripts, webhooks, tags, and user/team management.",https://docs.nango.dev/docs/integrations/all/grain-api-key,self-serve,personal-access-token,true,easy,false,Personal Access Token self-generated in settings. Agent cited a nango.dev third-party page.
salesforce-commerce-cloud,Salesforce Commerce Cloud,Ecommerce,high-hardness access=gated buildability=needs-outreach critic-changed:auth_methods/has_mcp,,gated,oauth2|jwt|basic,true,needs-outreach,true,Broad REST API supporting Admin and Shopper endpoints through Salesforce Commerce API (SCAPI).,https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization.html,gated,oauth2|jwt,true,needs-outreach,false,"Not verified -- landed on Salesforce Models API (LLM) page, not Commerce Cloud SCAPI. (Agent's evidence URL was actually the correct SCAPI page.)"
youtube-transcript,YouTube Transcript,"AI, Research and Media-native",control,,self-serve,api-key,unknown,easy,true,"REST API with endpoints for extracting transcripts, getting video info, searching YouTube and channels, resolving handles, and listing uploads or playlist videos.",https://transcriptapi.com/docs/api/,self-serve,api-key,false,easy,false,Free API key at signup. Control.
fathom,Fathom,"AI, Research and Media-native",control,,self-serve,api-key|bearer|oauth2,unknown,easy,true,"REST API and official TypeScript and Python SDKs supporting authentication, meetings, and webhooks.",https://developers.fathom.ai/sdks/authentication,self-serve,api-key,true,easy,true,API keys generated in website settings. Control.
harvest,Harvest,Productivity and Project Management,control,,self-serve,oauth2|personal-access-token,unknown,easy,true,"REST API with comprehensive coverage of Harvest resources including time tracking, projects, clients, and invoices.",https://github.com/harvesthq/api/blob/master/Authentication/OAuth%202.0.md,self-serve,oauth2|personal-access-token,false,easy,true,OAuth2 or Personal Access Tokens. Control.
